tipo;uri;parent_uri;fecha;usuario;id_anonimo;contenido;likes;reposts;replies;media_path;idioma_ia;relevancia_ia;seguidores;texto_citado
POST;at://did:plc:62rhkedh5wvxc6enukyancr2/app.bsky.feed.post/3mk4jfjssjc2k;at://did:plc:62rhkedh5wvxc6enukyancr2/app.bsky.feed.post/3mk4jfjssjc2k;2026-04-22T22:13:21.730Z;fdtate.bsky.social;A070FE5A8B59756F;"#NewMusic2026
#DavidsMonthOfMusic
A language other than your own

Rosalía - Focu 'Ranni

A bonus track from the deluxe edition of last year's Lux album 

youtu.be/u7pr0p3ShXU?...";9;0;0;;Desconocido;SI;1508;
POST;at://did:plc:rxzk3xsi4qewnu7yrl6ugyrh/app.bsky.feed.post/3mk4jd6alpc2u;at://did:plc:rxzk3xsi4qewnu7yrl6ugyrh/app.bsky.feed.post/3mk4jd6alpc2u;2026-04-22T22:12:02.489Z;playgamesmovies.bsky.social;2DBFFCED85F0B14B;"LUX (Complete Works)

ROSALÍA

Play on Apple Music apple.co/4tsjxLb Ad.";0;0;1;;Desconocido;SI;323;
COMENTARIO;at://did:plc:rxzk3xsi4qewnu7yrl6ugyrh/app.bsky.feed.post/3mk4jeea46s2u;at://did:plc:rxzk3xsi4qewnu7yrl6ugyrh/app.bsky.feed.post/3mk4jd6alpc2u;2026-04-22T22:12:42.319Z;playgamesmovies.bsky.social;2DBFFCED85F0B14B;"Try Apple Music free for 1 month

Music apple.co/4tsjxLb

On Apple & Android.

Offer valid for new Apple Music subscribers only. After the 1-month free trial, subscription automatically renews at the standard monthly rate unless cancelled before the trial ends. Terms & conditions apply. Ad.";0;0;0;;Desconocido;SI;;
POST;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk4jcrf3qc2q;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk4jcrf3qc2q;2026-04-22T22:11:49.006Z;huisvrouwblues.bsky.social;B383392551EDC4A6;Er kan er maar één zo zingen als Rosalía! #Amsterdam #ZiggoDome;4;0;1;;Desconocido;SI;345;
COMENTARIO;at://did:plc:wasl3hddrg35wyfvibo2ko3b/app.bsky.feed.post/3mk5bhzvkkc24;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk4jcrf3qc2q;2026-04-23T05:24:15.510Z;debuski.bsky.social;DBE885567D7F3A68;Geweldig 🤩;1;0;0;;Desconocido;SI;;
POST;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk4i2mi3ls2q;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk4i2mi3ls2q;2026-04-22T21:49:21.678Z;huisvrouwblues.bsky.social;B383392551EDC4A6;Zing, vecht, huil, bid, lach, werk en bewonder! Rosalía no. 1 ❤️ #ZiggoDome #Amsterdam #dag1;2;0;0;;Desconocido;SI;345;
POST;at://did:plc:2g5pf6z7riizw4linmt4flkn/app.bsky.feed.post/3mk4hv7jpyc26;at://did:plc:2g5pf6z7riizw4linmt4flkn/app.bsky.feed.post/3mk4hv7jpyc26;2026-04-22T21:46:20.324Z;wouterwagemakers.bsky.social;46C2F829CA45A16E;Went to Rosalía in Amsterdam and she was magnificent. One of the best concerts I’ve ever attended.;9;0;1;;Desconocido;SI;2846;
COMENTARIO;at://did:plc:u3ncxqlyxkyr257cf3bun6dv/app.bsky.feed.post/3mk4lbkhugc2d;at://did:plc:2g5pf6z7riizw4linmt4flkn/app.bsky.feed.post/3mk4hv7jpyc26;2026-04-22T22:46:55.686Z;raymondruesink.bsky.social;450D2AE5DC23819E;Couldn’t agree more;1;0;0;;Desconocido;SI;;
POST;at://did:plc:sw2u3jta6dqm2dfab45a64we/app.bsky.feed.post/3mk4hba42ic25;at://did:plc:sw2u3jta6dqm2dfab45a64we/app.bsky.feed.post/3mk4hba42ic25;2026-04-22T21:35:09.471Z;tempetebot.bsky.social;BADE4CD840DF2BCF;"🎶 #NowPlaying LISA, ROSALÍA - New Woman (feat. ROSALÍA)

https://radiotempete.com/";0;0;0;;Desconocido;SI;100;
POST;at://did:plc:44pr4kzk6jdlqw4kul2g37nf/app.bsky.feed.post/3mk4hb6zk2k27;at://did:plc:44pr4kzk6jdlqw4kul2g37nf/app.bsky.feed.post/3mk4hb6zk2k27;2026-04-22T21:35:08.701Z;micheldoodeman.bsky.social;478533501BA82ED2;Rosalía gewoon weer erg geweldig;4;0;0;;Desconocido;SI;2375;
